青山不改[综武侠],585710208,2016,12
攻下全宇宙（快穿）,201792736,2017,11
去你的渣攻弱受[快穿],120858392,2018,5
黄半仙=活神仙,305986784,2008,12
异世生存,54821196,2011,1
穿成弱受他大哥,46761856,2019,3
弱受他一言难尽,72646632,2017,5
从透明cv到耽美大神,19104268,2013,4
[综]弱受养成 童叟无欺,41165056,2018,4
我有弱受光环[快穿],36932660,2018,8
每次穿越都是弱受（快穿）,40211708,2018,6
弱受的自我修养[系统],50826104,2017,9
逼受成攻史[快穿],33254126,2018,6
独宠后宫,48452764,2014,8
纯爱小受记,29096212,2011,7
药剂师,20672420,2011,4
我的攻伪装弱受无法自拔,45313320,2017,1
弱受（伪X暗黑甜蜜文）,8154638,2010,1
凤翔离恨冥焰起,86015208,2007,2
闻我呀，我是一朵花,24863510,2018,5
[猎人]养一只猫,47896384,2013,6
重生成第二人格,23320600,2009,12
饕餮先生,28876644,2010,4
重生你好，重生再见,30095712,2011,10
成攻,48781748,2010,5
随身携带系统,20210444,2013,4
赚钱养小“受”,25230716,2015,2
[剑三斗罗]穿成主角武魂以后,12042933,2016,11
捕获冷傲女王受gl,21922968,2016,2
戏子入画,7592245,2012,6
异世之生活,14905635,2011,6
敛群芳（修改版）,9475290,2011,7
随身世界之强受无敌,15411032,2013,10
红楼之皇帝是个受,16462181,2013,6
hp十二,47111628,2009,11
弱受自杀才能崛起[重生],21649242,2017,1
童养小“媳妇”,25359966,2010,10
南朝驸马gl,14577772,2018,1
男宠男妃男后,26461478,2013,10
花花恶少,34376128,2008,12
粗暴的温柔,11027211,2014,4
HP之沐恩的故事,15095941,2012,7
翻身成攻[快穿],10113556,2016,6
重生之弱受当自强,17612112,2013,11
这么帅怎么可能是炮灰,12486550,2014,1
秦时纪事,25814704,2013,5
逃离女主,14919109,2017,6
[网王]千叶七璃,13765250,2012,2
为人妻者（GD）,7435787,2015,2
攻心受身,19925754,2015,3
重生之崛起吧，弱受,14555413,2014,1
鱼家小夫君,11740059,2015,5
穿越之我是梦色糕点师,6317374,2010,12
无限恐怖之小弱受,7629267,2012,4
