重生之林然,28218340,2011,6
绝世好蛋,19290692,2011,5
[歌之王子+兄弟战争]在N次错过之后,2432373,2015,1
江南的异世宠夫生活,6143348,2016,11
植物爱僵尸,3107514,2009,12
不小心穿到小黄文,1409188,2019,1
美丽人生,5050693,2005,10
一妻一夫,2482740,2011,1
家教网王我的！！！（纲吉&龙马）,494266,2013,5
妖尾之弱弱,1743140,2013,2
华年引,11013810,2010,8
媳妇快长大,2512917,2016,12
猫猫乖~不捣蛋~弱弱说一句，才怪！,757695,2011,3
（网王BL）七窍灵珑心,126244,2008,4
弱主江山？？？,822078,2012,10
捞只伪娘做兄弟,920605,2014,2
书生的后宫,100736,2014,3
(2只大叔，别扭&弱弱)唯唯诺诺,1219828,2008,7
左家有娇女,250253,2014,4
孙子兵法同人之钟离秋,632720,2013,2
肉与胖次与强攻弱受,464111,2014,7
家教用我的生命去爱你 all27,160484,2011,7
我的阳魂(魂有千千劫）,2692754,2011,12
弱弱狐狸穿越妻,1373949,2010,3
网王冢不二只爱你一个,75538,2012,4
那个谁，放开男配,103500,2015,4
学渣进化计,73509,2015,6
长安月下香 华胥引同人。,57591,2012,7
穿越之西门家族,398386,2012,10
Free!水有生命,194877,2013,8
弱弱镇尸官,599523,2010,1
蜀山归［仙剑三长卿同人］,88282,2014,6
爱上我这样的男人,724052,2017,11
至少还有我   gl,111394,2012,5
弱弱的男友,1561318,2013,5
爱你成习惯,167568,2014,7
喂！我不是故意暗恋你的,41182,2016,2
非凹即凸,27498,2009,5
弱弱公主的冷酷夫君,149301,2009,10
隔世情殇,129344,2012,7
魔剑风流之大宋风云录,1119763,2017,11
离爱,120432,2018,5
弱弱和呆呆,317015,2016,11
猎人之弱弱,22222,,
谎言,19223,2009,7
教化学的饶老师,35228,2010,9
文若其人,101067,2008,6
天天,111217,2008,6
思念的长度,27124,2008,9
六芒星之旅,46297,2009,6
云想衣裳花想容,161252,2009,6
英雄后,364716,2009,6
放学后的屋顶,86325,2010,3
综漫——一切尽在不言中,24458,2010,3
大神和他的兄弟,34154,2010,12
HB TO 小弱弱《生日快乐》CP：一青,239251,2011,2
网王——双面,73456,2012,3
边跑边追,594487,2012,8
暖风入我心,1170835,2013,4
青春赞歌,36231,2013,9
慕酒歌，我说故事给你听,73711,2015,3
白虎与龙,99323,2015,4
杨柳夫夫的日常有爱小段子,40312,2019,2
弱弱和呆呆的故事,1224379,2017,11
下垂眼,17254,2012,9
烈风逐舞,24782,2005,3
弱弱训豹,16521,2005,8
小亭,73208,2008,6
如果你也爱我,17732,2008,10
少根筋,16421,2008,12
漓殇,39831,2009,1
境中的记忆,40427,2009,6
吟情渺渺,176973,2009,8
弱弱的一声：咩...,21676,2009,8
星之契约,36103,2010,7
长歌轻泣,25424,2010,7
女女配男,19681,2010,7
守楼人传说,22941,2010,12
校园,35308,2011,8
动漫穿要穿哪？,50510,2011,11
战士和他队友的基情,17512,2011,12
瞳涣,53575,2012,9
阿丸,21273,2012,11
少爷请温柔,43566,2013,8
[LOL]让我坑死你,32004,2014,8
摄魂铃,124461,2015,1
拨序#速之客,20680,2016,5
我是一个石头,85458,2017,11
我的三十七年,76249,2017,12
将军上塌，春眠不觉晓,31807,2018,2
倾尽天下,22220,2018,3
真红,16400,2018,8
