作品,作品积分,年,月
宠物饲养法,37720068,2003,12
悬崖,96019,2003,11
沧海遥（原《醉今生－观沧海》修改篇,4975590,2004,3
青羽,259511,2004,2
奈何桥 之 兰帝,19648364,2005,6
相忘江湖,6821383,2005,11
原来幸福在一起,6986934,2005,7
权倾天下,9657989,2005,5
你死我活,5804073,2005,7
千年之咒——暨以此文献给我最爱的那首歌,3766673,2005,10
无双将,3233521,2005,5
皇家糗事,731264,2005,7
权倾天下,1576547,2005,3
幸运观众,1721747,2005,12
西方霸主,3732808,2005,10
孤鸿孽事,247214,2005,3
[香初上舞同人][屈莲]莲魂之挽歌,155317,2005,11
燕鸣歌的控诉,95097,2005,12
平行鸟类,94416,2005,12
这一世，只恋你一人,32696,2005,5
越江吟,455586560,2006,9
劝君莫惜金缕衣,73319472,2006,6
慕倾狂枭,8099147,2006,2
[仙剑三/重飞]等待花开,4928041,2006,6
BL之火花,8824673,2006,8
意难平,9881714,2006,10
火凤舞天,2865435,2006,1
折翼（终极版）,5875752,2006,4
江白之局,4708057,2006,12
遥远的距离,721133,2006,3
生命之刺杀者正传,1044453,2006,2
局,1571626,2006,12
ORGY酒吧的孩子们,2122662,2006,10
以魂易魂,1051698,2006,3
末日之飞翼城,303084,2006,11
逝(强强，国庆贺文),1101412,2006,10
耽美忆文之互攻篇,98990,2006,11
致命(强强对抗),806026,2006,6
悲风冷月,862192,2006,10
[SD花流/流花]拖鞋,289311,2006,2
野蛮游戏,176105,2006,5
宫情,466540,2006,7
[幽游白书/飞藏]月之森,144287,2006,3
四月,635786,2006,9
[银英同人/罗米]如你所见,206271,2006,11
[章宪]任性的人,230163,2006,11
五月,639098,2006,9
恋眸,229784,2006,5
七月,657777,2006,10
卜算子,632359,2006,11
十月,665708,2006,10
三月,587075,2006,10
六月,593903,2006,10
谈情不说爱(强强),185954,2006,12
侵犯Ｘ侵犯,306340,2006,9
一月,594090,2006,10
脑残·天雷物,238176,2006,12
强强联盟,318887,2006,1
捣练子,572997,2006,11
南乡子,574279,2006,10
苏幕遮,577221,2006,10
乐·放肆,135813,2006,10
以仇易爱,118118,2006,12
残月,31081,2006,1
[SD牧神]一路风景,94534,2006,3
霸王别姬,119010,2006,3
破碎的海,31084,2006,6
不舍,74831,2006,7
